"address","earnings","reasons"
"0x6f0c3105444e9ad288ed64674c12420593a1efb2","24000","dao"
"0x6f918e0c33856cd48355a0731e6c065562a22523","12000","dao"
"0x6f99d20127dbe42d7cdadb5c5403ecc03e095cb6","12000","dao"
"0x7018b38480ceb7740691afb565e82658072a0de1","12000","dao"
"0x705f3713e88aed3e50e665bcefadc860ea19d869","12000","dao"
"0x7089fe96bf1887e7874feb21796e1d3114eaa864","12000","dao"
"0x709680f22d2b95267764db0e1385b59525d7f4d8","12000","dao"
"0x70e02197c92c7c7c2081e35a671ed1dafc60087d","12000","dao"
"0x71535aae1b6c0c51db317b54d5eee72d1ab843c1","12000","dao"
"0x71877236d9656ee24ba49f7eb33bcbf071cbfccc","12000","dao"
"0x71a1df0d820d29c784c04865904492ac38801a04","12000","dao"
"0x71d56ecf11c561617efbd1151d7aa272aece3f97","12000","dao"
"0x720c3b293cf8a18ea90f70b59c7f8ae236143a7d","12000","dao"
"0x723643349c2d4b0e1a1098839ab00819ad85496b","12000","dao"
"0x726ce00491e2f87ad25eb0c8410cd5b0822cabd7","12000","dao"
"0x72be0aee75afeb770ae7565838fdda70222713a6","12000","dao"
"0x732a4b05c31da514e30411d79e3e17624579b848","24000","dao"
"0x739952a05413f338c43c71f7ce8f86d982829179","24000","dao"
"0x742a1e668a4be2352327ff9a0444778142b23175","24000","dao"
"0x744bdf0df4bc5df1817ee1084908e96ee515b1b7","12000","dao"
"0x7462bbced49508e8f4357d414ce32d7e0f27cb02","12000","dao"
"0x74b7e6d4336df8038a44393cac5b7ac53fd75c7a","12000","dao"
"0x751524c82c55d9647c83989161bc5184406a07a1","12000","dao"
"0x75a11e9c79d5919cd3b6d939f3da73d5907b0d5e","12000","dao"
